id;nickname;avatar_image_blob;avatar_image_blob_content_type;avatar_text_blob;freshman;email;phone_number;gender;create_date;update_date
1;"_1KfM";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;29058;"51i@on.gzcd";"8337326801";M;2021-04-08T18:42:49;2021-04-08T17:46:02
2;"H-WHJ";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;39244;"yb5w6@j69.hlu";"7919174928940";M;2021-04-09T00:42:35;2021-04-08T20:25:20
3;"tgSXgeL";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;8588;"r4z-@vc.ivp";"60772420700571";F;2021-04-09T11:33:14;2021-04-09T02:08:43
4;"XSqQXNAkcn7lYzO1";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;64633;"agy8sx@llth4q.xjcdf";"7708151545";M;2021-04-09T03:09:58;2021-04-09T12:06:25
5;"pXmVDPc4ox00NID";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;7743;"_.sgp@4mv824.lyib";"4960494882";F;2021-04-09T03:54:55;2021-04-09T06:19:19
6;"rQ0cO";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;18859;"ukrh7@yq.daf";"7106729608";M;2021-04-08T17:18:39;2021-04-09T04:56:23
7;"S30bN5oHq09LDR";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;66930;"997@p4utj.yrmn";"902817951475085";M;2021-04-08T22:43:24;2021-04-09T15:05:31
8;"h7_tJY1C";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;73796;"264hv@.3afs1.vwaefi";"75754467128503";F;2021-04-08T22:36:03;2021-04-08T20:58:59
9;"ErrSaHV48IC";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;14777;"y@u.mebw";"697476249";M;2021-04-09T06:43:07;2021-04-09T03:17:40
10;"pBtJ3UC9OLDKT";../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;36745;"w@af3w7e.w.s";"5929575610298";F;2021-04-08T19:59:21;2021-04-08T18:46:02
